id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,market_cap_dominance,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,platform_currency,first_priced_at
ALGO,ALGO,ALGO,Algorand,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ALGO.png,active,0.32034305,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,7018092026,10000000000,2248197009,0.0023,127,322,25,2019-06-19T00:00:00Z,2019-06-21T00:00:00Z,2019-06-19T00:00:00Z,33,0,2.94270059,2019-06-19T00:00:00Z,138280981.80,-0.0082530428,-0.0251,20376527.61,0.1728,-57921169.16,-0.0251,,
BCH,BCH,BCH,Bitcoin Cash,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BCH.png,active,108.67321860,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,19204337,21000000,2086997156,0.0022,313,2581,136,2017-07-09T00:00:00Z,2017-07-27T00:00:00Z,2018-08-29T00:00:00Z,34,0,3717.64256369,2017-12-20T00:00:00Z,676283660.70,-1.67878512,-0.0152,-75034641.10,-0.0999,-32140638.97,-0.0152,,
LUNA,LUNA,LUNC,Terra Luna Classic,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/LUNA.png,active,0.00025275752,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,6885019857818,6907072876045,1740240528,0.0018,103,243,26,2019-06-05T00:00:00Z,2019-07-26T00:00:00Z,2019-07-04T00:00:00Z,35,0,116.53690949,2022-04-04T00:00:00Z,416769192.80,-0.0000095304188,-0.0363,-8743288.99,-0.0205,-65675925.42,-0.0364,LUNA,
VET,VET,VET,VeChain Thor,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/vet.png,active,0.022896308,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,72511146418,86712634466,1660237552,0.0017,89,237,2,2018-07-13T00:00:00Z,2018-07-13T00:00:00Z,2018-08-29T00:00:00Z,36,0,0.25433601,2021-04-18T00:00:00Z,113788795.47,-0.00017468176,-0.0076,7361015.86,0.0692,-12666374.32,-0.0076,,
HT,HT,HT,Huobi Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/HT.jpg,active,7.82653146,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,204490827,500000000,1600453894,0.0017,90,2842,24202,2018-06-16T00:00:00Z,2018-06-16T00:00:00Z,2019-02-15T00:00:00Z,37,0,34.96059727,2021-05-12T00:00:00Z,102118273.91,-0.079839335,-0.0101,-93555083.60,-0.4781,-16326411.61,-0.0101,HT,
FLOW2,FLOW2,FLOW,Flow,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/FLOW2.jpg,active,1.52843098,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,1036200000,,1583760181,0.0017,57,96,0,2021-01-27T00:00:00Z,2021-01-27T00:00:00Z,2021-01-27T00:00:00Z,38,0,39.15110330,2021-03-04T00:00:00Z,69933799.45,0.0093539985,0.0062,12814154.13,0.2243,9692613.28,0.0062,,2021-01-28T14:38:49.921753Z
FIL,FIL,FIL,Filecoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/FIL.png,active,5.13555071,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,299836060,2000000000,1539823291,0.0016,119,429,1,2017-11-03T00:00:00Z,2017-11-23T00:00:00Z,2019-06-04T00:00:00Z,39,0,190.86715450,2021-03-31T00:00:00Z,222075077.05,-0.091615564,-0.0175,-12946244.32,-0.0551,-25270523.46,-0.0161,,
HBAR,HBAR,HBAR,Hedera Hashgraph,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/HBAR.jpg,active,0.061923894,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,24352951184,50000000000,1508029557,0.0016,56,106,0,2019-09-17T00:00:00Z,2019-09-17T00:00:00Z,2019-09-17T00:00:00Z,40,0,0.50531649,2021-09-15T00:00:00Z,88100440.57,0.000049405920,0.0008,9331187.08,0.1185,1203180.90,0.0008,,
CRI,CRI,CRI,Crypto International,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CRI.png,active,0.47674116,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,2963040330,10000850776,1412603289,0.0015,6,18,0,2021-11-14T00:00:00Z,2021-11-14T00:00:00Z,2021-11-14T00:00:00Z,41,0,0.61624525,2022-07-07T00:00:00Z,334875.29,-0.011442645,-0.0234,4150.17,0.0125,-33905019.89,-0.0234,ETH,2022-03-10T23:23:42.193271Z
APE7,APE7,APE,ApeCoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/APE7.jpeg,active,4.41179240,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,314218750,1000000000,1386267893,0.0014,93,180,4,2022-03-16T00:00:00Z,2022-03-17T00:00:00Z,2022-03-17T00:00:00Z,42,0,23.74999516,2022-04-28T00:00:00Z,233759430.44,-0.12164141,-0.0268,33730223.48,0.1686,-38222010.38,-0.0268,ETH,2022-03-17T16:40:56.703528Z
FRAX,FRAX,FRAX,Frax,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/FRAX.jpg,active,0.99869014,2022-10-18T00:00:00Z,2022-10-18T17:48:00Z,1363108793,1363108793,1361323306,0.0014,19,139,8,2020-12-16T00:00:00Z,2020-12-16T00:00:00Z,2020-12-21T00:00:00Z,43,1,3.22297795,2020-12-17T00:00:00Z,16945607.70,0.00036565651,0.0004,12985646.37,3.2792,2994240.80,0.0022,ETH,2020-12-22T19:46:11.961151Z
